x_m,y_m
5.500000000000014211e+00,7.400000000000019895e+00
5.503146853146867912e+00,7.500000000000021316e+00
5.489976689976705515e+00,7.600000000000020961e+00
5.469813519813536473e+00,7.700000000000020606e+00
5.451981351981368462e+00,7.800000000000022027e+00
5.445804195804212711e+00,7.900000000000021672e+00
5.450000000000017053e+00,8.000000000000023093e+00
5.450000000000017053e+00,8.150000000000023448e+00
5.450000000000017053e+00,8.300000000000022027e+00
5.450000000000017053e+00,8.400000000000023448e+00
5.450000000000017053e+00,8.500000000000024869e+00
5.450000000000017053e+00,8.650000000000023448e+00
5.450000000000017053e+00,8.750000000000024869e+00
5.450000000000017053e+00,8.850000000000026290e+00
5.450000000000017053e+00,9.000000000000024869e+00
5.450000000000017053e+00,9.150000000000027001e+00
5.450000000000017053e+00,9.300000000000025580e+00
5.450000000000017053e+00,9.450000000000025935e+00
5.450000000000017053e+00,9.550000000000027356e+00
5.450000000000017053e+00,9.700000000000027711e+00
5.450000000000017053e+00,9.850000000000028066e+00
5.450000000000017053e+00,1.000000000000002842e+01
5.454195804195821395e+00,1.015000000000002700e+01
5.448018648018665644e+00,1.025000000000002842e+01
5.430186480186497633e+00,1.035000000000002984e+01
5.410023310023325926e+00,1.045000000000002771e+01
5.396853146853162642e+00,1.055000000000002913e+01
5.400000000000016342e+00,1.065000000000003055e+01
5.400000000000016342e+00,1.080000000000002913e+01
5.400000000000016342e+00,1.090000000000003055e+01
5.400000000000016342e+00,1.105000000000003268e+01
